document_number,title,publication_date,effective_on,abstract,html_url
2026-05214,"Initiation of Section 301 Investigations: Acts, Policies, and Practices of Certain Economies Relating to Structural Excess Capacity and Production in Manufacturing Sectors",2026-03-17,,"The United States Trade Representative (Trade Representative) has initiated investigations under Section 301 of the Trade Act of 1974 regarding the acts, policies, and practices of certain economies relating to structural excess capacity and production in certain manufacturing sectors. Key trading p",https://www.federalregister.gov/documents/2026/03/17/2026-05214/initiation-of-section-301-investigations-acts-policies-and-practices-of-certain-economies-relating
2026-05170,Crystalline Silicon Photovoltaic Cells Whether or Not Partially or Fully Assembled Into Other Products: Evaluation of the Effectiveness of Import Relief,2026-03-17,,"Pursuant to section 204(d) of the Trade Act of 1974 (""the Act""), the Commission has instituted investigation No. TA-201-075, Crystalline Silicon Photovoltaic (""CSPV"") Cells (Whether or Not Partially or Fully Assembled Into Other Products) (""CSPV products""), for the purpose of evaluating the effectiv",https://www.federalregister.gov/documents/2026/03/17/2026-05170/crystalline-silicon-photovoltaic-cells-whether-or-not-partially-or-fully-assembled-into-other
2026-05124,Certain Urine Splash Guards and Components Thereof; Notice of Commission Final Determination Finding a Violation of Section 337; Issuance of a General Exclusion Order and Cease and Desist Orders; Termination of the Investigation,2026-03-17,,"Notice is hereby given that the U.S. International Trade Commission (""Commission"") has found a violation of section 337 of the Tariff Act of 1930, as amended, in the above-captioned investigation by respondents Hezeyunjiangjixieshebeiyouxiangongsi (d/b/a Maomaohouse) (""Maomaohouse"") of Shenzhen, Chi",https://www.federalregister.gov/documents/2026/03/17/2026-05124/certain-urine-splash-guards-and-components-thereof-notice-of-commission-final-determination-finding
2026-05206,Certain Passenger Vehicle and Light Truck Tires From the People's Republic of China: Notice of Court Decision Not in Harmony With the Results of Antidumping Administrative Review; Notice of Amended Final Results,2026-03-17,,"On March 4, 2026, the U.S. Court of International Trade (CIT) issued its final judgment in YC Rubber v. United States, CIT Court no. 19-00069, sustaining the U.S. Department of Commerce (Commerce)'s third remand results pertaining to the administrative review of the antidumping duty (AD) order on Ce",https://www.federalregister.gov/documents/2026/03/17/2026-05206/certain-passenger-vehicle-and-light-truck-tires-from-the-peoples-republic-of-china-notice-of-court
2026-05099,Certain Pasta From Italy: Final Results of Antidumping Duty Administrative Review; 2023-2024,2026-03-16,,"The U.S. Department of Commerce (Commerce) determines that certain pasta (pasta) from Italy was sold in the United States at less than normal value during the period of review (POR), July 1, 2023, through June 30, 2024.",https://www.federalregister.gov/documents/2026/03/16/2026-05099/certain-pasta-from-italy-final-results-of-antidumping-duty-administrative-review-2023-2024
2026-05005,"Temporary Steel Fencing From the People's Republic of China: Final Affirmative Countervailing Duy Determination and Final Affirmative Determination of Critical Circumstances, in Part",2026-03-16,,"The U.S. Department of Commerce (Commerce) determines that countervailable subsidies are being provided to producers and exporters of temporary steel fencing from the People's Republic of China (China). The period of investigation (POI) is January 1, 2024, through December 31, 2024.",https://www.federalregister.gov/documents/2026/03/16/2026-05005/temporary-steel-fencing-from-the-peoples-republic-of-china-final-affirmative-countervailing-duy
2026-05004,"Temporary Steel Fencing From the People's Republic of China: Final Affirmative Determination of Sales at Less Than Fair Value and Final Affirmative Determination of Critical Circumstances, in Part",2026-03-16,,"The U.S. Department of Commerce (Commerce) determines that temporary steel fencing from the People's Republic of China (China) is being, or is likely to be, sold in the United States at less than fair value (LTFV). The period of investigation (POI) is July 1, 2024, through December 31, 2024.",https://www.federalregister.gov/documents/2026/03/16/2026-05004/temporary-steel-fencing-from-the-peoples-republic-of-china-final-affirmative-determination-of-sales
2026-05003,Polypropylene Corrugated Boxes From the People's Republic of China: Antidumping Duty and Countervailing Duty Orders,2026-03-16,,"Based on affirmative final determinations by the U.S. Department of Commerce (Commerce) and the U.S. International Trade Commission (ITC), Commerce is issuing antidumping duty (AD) and countervailing duty (CVD) orders on polypropylene corrugated boxes (corrugated boxes) from the People's Republic of",https://www.federalregister.gov/documents/2026/03/16/2026-05003/polypropylene-corrugated-boxes-from-the-peoples-republic-of-china-antidumping-duty-and
2026-05001,Certain Oil Country Tubular Goods From the Republic of Korea: Preliminary Results of Antidumping Duty Administrative Review; 2023-2024,2026-03-16,,"The U.S. Department of Commerce (Commerce) preliminarily finds that certain oil country tubular goods (OCTG) from the Republic of Korea (Korea) were not sold in the United States at prices below normal value. The period of review (POR) is September 1, 2023, through August 31, 2024. Interested partie",https://www.federalregister.gov/documents/2026/03/16/2026-05001/certain-oil-country-tubular-goods-from-the-republic-of-korea-preliminary-results-of-antidumping-duty
2026-05000,Tow-Behind Lawn Groomers and Certain Parts Thereof From the People's Republic of China: Continuation of Antidumping Duty Order,2026-03-16,,As a result of the determinations by the U.S. Department of Commerce (Commerce) and the U.S. International Trade Commission (ITC) that revocation of the antidumping duty (AD) order on tow-behind lawn groomers and certain parts thereof (lawn groomers) from the People's Republic of China (China) would,https://www.federalregister.gov/documents/2026/03/16/2026-05000/tow-behind-lawn-groomers-and-certain-parts-thereof-from-the-peoples-republic-of-china-continuation
2026-04995,"Oil Country Tubular Goods From Socialist Republic of Vietnam: Preliminary Results and Rescission, in Part, of Antidumping Duty Administrative Review; 2023-2024",2026-03-16,,"The U.S. Department of Commerce (Commerce) preliminarily finds that producers and/or exporters subject to this administrative review made sales of subject merchandise at less than normal value (NV) during the period of review (POR) September 1, 2023, through August 31, 2024. Commerce is also rescind",https://www.federalregister.gov/documents/2026/03/16/2026-04995/oil-country-tubular-goods-from-socialist-republic-of-vietnam-preliminary-results-and-rescission-in
2026-04944,Certain Fatty Acids From Indonesia and Malaysia: Initiation of Less-Than-Fair-Value Investigations,2026-03-13,,,https://www.federalregister.gov/documents/2026/03/13/2026-04944/certain-fatty-acids-from-indonesia-and-malaysia-initiation-of-less-than-fair-value-investigations
2026-04908,Certain Disposable Vaporizer Devices; Notice of Final Commission Determination of No Violation; Termination of Investigation,2026-03-13,,"Notice is hereby given that the U.S. International Trade Commission (""Commission"") has determined to reverse the violation findings of the final initial determination (""FID"") issued by the presiding administrative law judge (""ALJ"") in this investigation and find that asserted claims 4 and 12, and cl",https://www.federalregister.gov/documents/2026/03/13/2026-04908/certain-disposable-vaporizer-devices-notice-of-final-commission-determination-of-no-violation
